Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Q Learning,81,128,27,20,90,22,22,12,15,27,16,9,58,11,13,45,44,35,31,9,21,10,12,16,98,11,9,204,24,359,11,13,71,181,13,40,13,10,11,33,11,54,44,22,13,13,87,12,18,45,9,18,28,33,12,37,26,59,15,341,23,11,123,10,22,14,16,17,14,12,11,10,10,16,14,9,12,24,9,10,12,12,10,32,11,20,11,9,24,28,10,82,35,13,12,12,20,19,10,13
Q Learning,82,47,15,31,80,15,31,20,9,15,14,40,112,13,14,12,225,15,15,9,21,74,11,11,14,39,14,26,14,18,12,31,13,18,10,58,13,13,10,31,15,15,50,38,22,22,12,12,19,23,21,17,21,21,13,14,15,13,122,112,51,14,62,14,13,31,15,10,11,9,17,11,13,11,19,12,26,11,12,15,41,12,27,80,14,16,18,14,11,13,9,54,10,23,19,9,19,21,40,17
Q Learning,67,53,204,31,61,244,62,23,13,10,11,12,12,25,62,18,15,394,11,11,12,26,20,35,15,10,12,17,12,13,9,110,39,11,15,26,20,11,16,13,28,11,20,15,9,13,19,72,22,28,9,12,16,12,24,11,15,35,9,29,22,14,29,10,13,25,11,14,14,19,50,18,18,9,15,10,17,22,10,14,11,28,9,11,11,9,15,16,13,12,9,21,9,13,15,18,13,14,13,26
